Users,                                                                Data for Call Option                                                               ,,,,,,,"Time to maturity
 (in days)",Implied Volatility,,,,
,Ticker symbol,Date,Price,CE Expiry,Strike Price,Option Price,"# of 
contracts",,Brenner & Subrahmanyam,Actual,1-(K/S)e[−r(T−t)],Difference,
Group 2,Nifty 50,24-Jul-15,8521.55,24-Sep-15,8500,268,422,62,19.08%,18.38%,0.019,0.70%,
Group 2,Nifty 50,29-Jul-15,8375.05,24-Sep-15,8400,225.6,263,57,17.04%,17.99%,0.013,-0.95%,
Group 2,Nifty 50,30-Jul-15,8421.8,24-Sep-15,8400,252.55,386,56,19.14%,18.38%,0.018,0.76%,
Group 2,Nifty 50,04-Aug-15,8516.9,24-Sep-15,8500,226.05,5208,51,17.75%,17.15%,0.016,0.60%,
Group 2,Nifty 50,06-Aug-15,8588.65,24-Sep-15,8600,209.25,11652,49,16.62%,17.11%,0.012,-0.49%,
Group 2,Nifty 50,14-Aug-15,8518.55,24-Sep-15,8500,211.6,13490,41,18.53%,17.77%,0.013,0.76%,
Group 2,Nifty 50,19-Aug-15,8495.15,29-Oct-15,8500,264.3,433,71,17.64%,17.84%,0.019,-0.20%,
Group 2,Nifty 50,21-Aug-15,8299.95,29-Oct-15,8300,261.65,441,69,18.13%,18.18%,0.019,-0.05%,
Group 2,Nifty 50,25-Aug-15,7880.7,29-Oct-15,7900,304.05,175,65,22.86%,23.62%,0.015,-0.76%,
Group 2,Nifty 50,26-Aug-15,7791.85,29-Oct-15,7800,312.2,349,64,23.92%,24.30%,0.016,-0.38%,
Group 2,Nifty 50,28-Aug-15,8001.95,29-Oct-15,8000,278.7,4175,62,21.13%,21.11%,0.017,0.02%,
Group 2,Nifty 50,29-Oct-15,8111.75,31-Dec-15,8100,261.5,316,63,19.40%,19.03%,0.019,0.37%,
Group 2,Nifty 50,29-Oct-15,"8,495.15",31-Dec-15,"8,500.00",409.45,199,63,29.00%,29.26%,0.017,-0.26%,
Group 2,Nifty 50,18-Sep-15,7981.9,CE Expiry,8000,183.95,52715,#VALUE!,#VALUE!,17.96%,#VALUE!,#VALUE!,
Group 2,Nifty 50,16-Sep-15,7899.15,28/06/2018,7900,230.35,15010,1016,4.37%,21.34%,0.243,-16.97%,
Group 2,Nifty 50,15-Sep-15,7829.1,28/06/2018,7850,440.5,2,1017,8.43%,41.55%,0.241,-33.12%,
Group 2,Nifty 50,11-Sep-15,Price,28/06/2018,7800,257.4,5307,1021,#VALUE!,23.30%,#VALUE!,#VALUE!,
Group 2,Nifty 50,10-Sep-15,9567.457333,28/06/2018,7800,265.8,8538,1022,4.15%,23.85%,0.384,-19.70%,
Group 2,Nifty 50,09-Sep-15,9568.58729,23/02/2017,7800,271.85,7613,533,5.88%,22.70%,0.296,-16.82%,
Group 2,Nifty 50,08-Sep-15,9569.717248,30/03/2017,7700,269.15,9874,569,5.63%,23.98%,0.312,Difference,
Group 2,Nifty 50,03-Sep-15,9570.847205,30/03/2017,7800,294.55,3593,574,6.14%,23.18%,0.304,-17.04%,
Group 2,Nifty 50,02-Sep-15,9571.977163,30/03/2017,7700,320.05,1418,575,6.66%,25.64%,0.313,-18.98%,
Group 2,Nifty 50,01-Sep-15,9573.10712,27/04/2017,7800,317.55,1589,604,6.45%,26.20%,0.309,-19.75%,
